clamp_pressure,feedrate,X1_OutputCurrent,Y1_OutputCurrent,M1_CURRENT_FEEDRATE,S1_OutputCurrent,Z1_ActualPosition,Z1_CommandPosition,X1_DCBusVoltage,X1_OutputVoltage,S1_DCBusVoltage,Y1_DCBusVoltage,Machining_Process_end,Y1_OutputVoltage,Machining_Process_Repositioning,X1_OutputPower,S1_ActualPosition,S1_CommandPosition,Machining_Process_Layer 2 Up,S1_ActualVelocity,Machining_Process_Starting,S1_CurrentFeedback,S1_CommandVelocity,S1_OutputPower,tool_condition,experiment_id
4.0,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0207,2.77,2.74e-19,0.0167,False,1.84,False,-1.42e-06,-361.0,-361.0,False,0.001,True,0.524,0.0,6.96e-07,0,1
4.0,6,328.0,325.0,50.0,328.0,119.0,118.0,0.186,23.3,2.74e-19,0.281,False,37.8,False,0.00448,-361.0,-361.0,False,0.0,False,-0.288,0.0,-5.27e-07,0,1
4.0,6,328.0,327.0,50.0,328.0,115.0,115.0,0.14,30.6,2.74e-19,0.139,False,49.4,False,0.00533,-361.0,-361.0,False,0.0,False,0.524,0.0,9.1e-07,0,1
4.0,6,327.0,325.0,50.0,328.0,112.0,112.0,0.13,30.3,2.74e-19,0.156,False,47.6,False,0.00489,-361.0,-361.0,False,-0.001,False,-0.18,0.0,1.07e-06,0,1
4.0,6,328.0,326.0,50.0,328.0,109.0,108.0,0.114,30.5,2.74e-19,0.202,False,47.1,False,0.00425,-361.0,-361.0,False,0.0,False,0.226,0.0,1.96e-06,0,1
4.0,6,328.0,326.0,50.0,328.0,105.0,105.0,0.128,30.9,2.74e-19,0.166,False,49.6,False,0.00474,-361.0,-361.0,False,0.0,False,0.821,0.0,0.0,0,1
4.0,6,328.0,326.0,50.0,328.0,102.0,102.0,0.0955,29.3,2.74e-19,0.179,False,50.0,False,0.00345,-361.0,-361.0,False,0.00075,False,0.523,0.0,3.79e-06,0,1
4.0,6,327.0,325.0,50.0,328.0,98.6,98.3,0.117,29.1,2.74e-19,0.185,False,50.8,False,0.00441,-361.0,-361.0,False,0.0,False,-0.288,0.0,0.0,0,1
4.0,6,328.0,327.0,50.0,328.0,95.1,94.8,0.113,29.4,2.74e-19,0.154,False,49.7,False,0.00417,-361.0,-361.0,False,-0.00075,False,-0.0997,0.0,-8.36e-08,0,1
4.0,6,328.0,325.0,50.0,328.0,91.8,91.6,0.138,29.8,2.74e-19,0.119,False,48.1,False,0.00501,-361.0,-361.0,False,-0.001,False,0.118,0.0,0.0,0,1
4.0,6,327.0,325.0,50.0,328.0,88.5,88.2,0.114,31.3,2.74e-19,0.186,False,48.6,False,0.0043,-361.0,-361.0,False,0.0,False,-0.288,0.0,-6.99e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,85.0,84.7,0.13,31.6,2.74e-19,0.181,False,50.6,False,0.00485,-361.0,-361.0,False,0.001,False,0.118,0.0,-1.02e-06,0,1
4.0,6,327.0,325.0,50.0,328.0,81.7,81.5,0.122,30.4,2.74e-19,0.174,False,50.4,False,0.00457,-361.0,-361.0,False,-0.00175,False,2.34,0.0,0.0,0,1
4.0,6,327.0,325.0,50.0,328.0,78.4,78.1,0.133,28.5,2.74e-19,0.177,False,49.4,False,0.005,-361.0,-361.0,False,0.004,False,-0.288,0.0,7.61e-06,0,1
4.0,6,328.0,327.0,50.0,328.0,74.9,74.6,0.131,30.3,2.74e-19,0.165,False,51.2,False,0.00478,-361.0,-361.0,False,0.00075,False,-0.18,0.0,0.0,0,1
4.0,6,327.0,325.0,50.0,328.0,71.6,71.3,0.127,29.9,2.74e-19,0.155,False,49.3,False,0.00475,-361.0,-361.0,False,0.0,False,0.821,0.0,2.91e-06,0,1
4.0,6,327.0,325.0,50.0,328.0,68.3,68.0,0.127,30.2,2.74e-19,0.172,False,43.2,False,0.00468,-361.0,-361.0,False,-0.001,False,0.415,0.0,-1.06e-06,0,1
4.0,6,328.0,326.0,50.0,328.0,64.7,64.5,0.125,31.0,2.74e-19,0.196,False,47.3,False,0.00472,-361.0,-361.0,False,0.0,False,-0.694,0.0,0.0,0,1
4.0,6,327.0,325.0,50.0,328.0,61.5,61.2,0.131,31.8,2.74e-19,0.185,False,50.2,False,0.00491,-361.0,-361.0,False,-0.00325,False,0.00893,0.0,0.0,0,1
