clamp_pressure,feedrate,X1_OutputCurrent,Y1_OutputCurrent,M1_CURRENT_FEEDRATE,S1_OutputCurrent,Z1_ActualPosition,Z1_CommandPosition,X1_DCBusVoltage,X1_OutputVoltage,S1_DCBusVoltage,Y1_DCBusVoltage,Y1_OutputVoltage,X1_OutputPower,S1_ActualPosition,S1_CommandPosition,S1_ActualVelocity,S1_CurrentFeedback,S1_CommandVelocity,S1_OutputPower,tool_condition,experiment_id
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0219,0.557,2.75e-19,0.0152,1.39,-2.15e-06,339.0,339.0,-0.001,0.0666,0.0,-9.93e-07,0,4
2.5,6,329.0,327.0,50.0,328.0,119.0,119.0,0.0206,1.92,2.75e-19,0.0141,1.55,0.0,339.0,339.0,0.00075,0.054,0.0,7.29e-07,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0237,1.81,2.75e-19,0.0174,2.61,1.6e-06,339.0,339.0,-0.00175,0.157,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0225,1.87,2.75e-19,0.0167,1.24,-4.5e-06,339.0,339.0,0.0,0.0791,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.026,1.79,2.75e-19,0.013,0.996,1.75e-06,339.0,339.0,0.0,0.247,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0298,0.899,2.75e-19,0.0165,1.31,1.72e-06,339.0,339.0,0.0,0.26,0.0,1.07e-06,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0287,1.49,2.75e-19,0.0159,2.56,0.0,339.0,339.0,0.0,0.054,0.0,8.29e-07,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0297,3.26,2.75e-19,0.0154,0.799,-2.37e-06,339.0,339.0,0.0,-0.18,0.0,8.59e-07,0,4
2.5,6,329.0,327.0,50.0,328.0,119.0,119.0,0.0192,1.02,2.75e-19,0.0176,2.06,-3.86e-06,339.0,339.0,0.001,0.26,0.0,-1.95e-06,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0236,1.46,2.75e-19,0.0158,1.47,-4.08e-06,339.0,339.0,0.0,0.054,0.0,1.3e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0284,1.62,2.75e-19,0.0147,1.47,5.21e-06,339.0,339.0,-0.00175,0.363,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0197,1.08,2.75e-19,0.0208,1.35,1.66e-06,339.0,339.0,-0.00325,0.247,0.0,-3e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0212,1.57,2.75e-19,0.0137,1.66,0.0,339.0,339.0,0.0,0.157,0.0,-8.31e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0238,2.36,2.75e-19,0.0146,2.6,0.0,339.0,339.0,0.0,0.247,0.0,1.1e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0198,1.5,2.75e-19,0.0157,1.84,1.75e-06,339.0,339.0,0.002,0.26,0.0,-1.06e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0282,1.32,2.75e-19,0.0337,0.822,-2.73e-06,339.0,339.0,0.0,0.0665,0.0,1.75e-06,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0224,1.67,2.75e-19,0.0312,2.4,3.41e-06,339.0,339.0,0.001,0.157,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0199,0.923,2.75e-19,0.0195,2.53,-1.87e-06,339.0,339.0,0.0,0.26,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0205,0.37,2.75e-19,0.0341,1.32,1.16e-06,339.0,339.0,-0.00175,0.26,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0195,2.51,2.75e-19,0.015,1.31,-3.33e-06,339.0,339.0,0.0,0.35,0.0,1.01e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0208,1.47,2.75e-19,0.0283,2.68,4.4e-06,339.0,339.0,0.00075,0.35,0.0,3.88e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0272,0.739,2.72e-19,0.0181,1.71,1.37e-06,-486.0,-486.0,0.0,0.215,0.0,1.66e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0213,1.44,2.72e-19,0.0224,0.468,-2.42e-06,-486.0,-486.0,0.001,-0.0273,0.0,2.82e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0229,0.879,2.72e-19,0.0169,0.744,-6.67e-07,-486.0,-486.0,-0.002,0.556,0.0,-8.74e-07,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0428,2.36,2.72e-19,0.0143,2.38,0.0,-486.0,-486.0,-0.001,0.215,0.0,-1.91e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0215,2.09,2.72e-19,0.0266,1.1,1.65e-06,-486.0,-486.0,0.001,0.248,0.0,1.27e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0339,1.24,2.72e-19,0.0171,0.515,9.4e-07,-486.0,-486.0,0.0,0.215,0.0,1.92e-06,0,4
2.5,6,329.0,327.0,6.0,329.0,119.0,119.0,0.022,1.52,2.72e-19,0.0216,2.29,-1.68e-06,-486.0,-486.0,0.002,0.491,0.0,7.64e-06,0,4
2.5,6,329.0,327.0,6.0,329.0,119.0,119.0,0.0213,1.96,2.72e-19,0.0147,1.59,-1.01e-06,-486.0,-486.0,-0.001,0.863,0.0,-3.15e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0204,1.52,2.72e-19,0.0148,1.03,-1.15e-06,-486.0,-486.0,0.001,0.215,0.0,2.5e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.019,1.6,2.72e-19,0.021,1.77,1.19e-06,-486.0,-486.0,0.002,0.555,0.0,-4.58e-07,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.101,14.1,0.889,0.0709,4.66,0.00131,-259.0,-258.0,53.4,21.4,53.3,0.172,0,4
2.5,6,326.0,325.0,6.0,319.0,29.5,29.5,0.113,14.6,0.728,0.0697,4.44,0.00144,-254.0,-253.0,53.4,17.1,53.3,0.14,0,4
2.5,6,326.0,325.0,6.0,319.0,29.5,29.5,0.0805,13.5,1.1,0.0681,4.82,0.000947,-248.0,-248.0,53.2,27.8,53.3,0.209,0,4
2.5,6,326.0,325.0,6.0,317.0,29.5,29.5,0.076,13.3,0.884,0.0691,5.49,0.000871,-243.0,-242.0,53.4,19.5,53.3,0.167,0,4
2.5,6,326.0,324.0,6.0,323.0,29.5,29.5,0.0764,13.6,0.877,0.0577,4.8,0.000948,-237.0,-237.0,53.3,22.0,53.3,0.17,0,4
2.5,6,326.0,325.0,6.0,319.0,29.5,29.5,0.296,22.5,1.04,0.0666,4.52,0.00465,-232.0,-232.0,53.2,23.1,53.3,0.201,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.103,13.3,0.832,0.114,9.05,0.00126,-227.0,-226.0,53.4,20.8,53.3,0.159,0,4
