S1_ActualPosition,X1_OutputCurrent,S1_OutputCurrent,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputPower,Y1_OutputVoltage,Z1_ActualPosition,X1_OutputVoltage,Y1_DCBusVoltage,S1_CurrentFeedback,tool_condition,Y1_CurrentFeedback,X1_CurrentFeedback,Y1_OutputPower,S1_CommandPosition,S1_DCBusVoltage,Y1_ActualAcceleration,S1_OutputPower,S1_ActualAcceleration,S1_ActualVelocity,Y1_ActualVelocity,X1_ActualAcceleration,Z1_ActualVelocity,X1_ActualVelocity,successful_part,experiment_id,time_step
350.0,324.0,320.0,323.0,0.107,0.000896,27.9,29.7,13.0,0.147,22.9,1,-2.14,5.77,0.00435,350.0,0.895,-619.0,0.172,7.44,53.3,-20.1,188.0,-0.025,3.85,0,8,0
355.0,324.0,320.0,323.0,0.132,0.00349,28.0,29.7,25.9,0.125,25.7,1,-5.68,7.68,0.00413,355.0,0.971,-43.8,0.186,-64.3,53.2,-15.4,-56.3,-0.025,12.6,0,8,1
360.0,324.0,318.0,323.0,0.103,0.004,17.6,29.7,30.1,0.109,19.5,1,-6.79,6.02,0.00157,361.0,1.09,138.0,0.208,34.8,53.4,-6.9,-18.8,-0.025,18.6,0,8,2
366.0,325.0,320.0,323.0,0.314,0.00412,7.51,29.7,26.1,0.0629,27.2,1,-3.68,24.4,-9.82e-06,366.0,1.05,43.8,0.202,-43.5,53.2,0.1,1440.0,-0.025,6.28,0,8,3
371.0,324.0,319.0,324.0,0.12,0.00505,7.65,29.7,34.9,0.0515,17.0,1,-1.94,5.07,-7.71e-06,371.0,0.886,31.3,0.17,-16.8,53.4,0.05,-6.25,-0.025,20.0,0,8,4
376.0,324.0,319.0,323.0,0.112,0.00463,6.83,29.7,33.0,0.0515,23.6,1,-3.04,7.59,-1.57e-05,377.0,0.992,37.5,0.191,26.8,53.3,0.075,12.5,-0.025,20.0,0,8,5
382.0,324.0,319.0,323.0,0.11,0.00451,6.82,29.7,33.3,0.0507,28.1,1,-2.72,6.73,-2.25e-05,382.0,1.12,31.3,0.214,-60.4,53.2,0.05,-6.25,0.0,20.0,0,8,6
387.0,324.0,320.0,323.0,0.101,0.00405,10.4,29.7,34.4,0.125,17.4,1,7.21,5.93,0.000707,387.0,0.853,163.0,0.163,24.4,53.4,2.42,-156.0,-0.025,20.2,0,8,7
392.0,324.0,319.0,323.0,0.102,0.00343,23.0,29.7,27.2,0.189,28.8,1,11.3,6.68,0.00457,393.0,1.09,31.3,0.209,-33.9,53.2,10.9,-113.0,0.0,16.5,0,8,8
398.0,324.0,319.0,323.0,0.0861,0.00161,29.7,29.7,18.8,0.126,19.3,1,6.02,5.71,0.00465,398.0,0.934,213.0,0.18,-15.7,53.4,18.3,-225.0,-0.025,8.97,0,8,9
